 XYZ	date	basin	area	DL1	DL2	DL3	DL4	NA	P1	P2	P3	PE
26941NorvegienneP12a9Pools12a9.exPools11a85972594534666	04/10/1973	Norvegienne	NA	NA	NA	NA	NA	NA	NA	NA	NA	7
26941NorvegienneP12a9Pools12a9.rapidesetexPools11a85972594534666	04/10/1973	Norvegienne	NA	NA	NA	NA	NA	NA	NA	NA	NA	4
26941NorvegienneP13Pool13.exPool125970904534765	04/10/1973	Norvegienne	223	NA	NA	NA	NA	NA	NA	NA	NA	8
26941NorvegienneP8+9Pools8et9.exPools7et85972574534387	04/10/1973	Norvegienne	629	NA	NA	NA	NA	NA	NA	NA	NA	1
26941NorvegienneP9Pool9.exPool85973134534572	04/10/1973	Norvegienne	211	NA	NA	NA	NA	NA	NA	NA	NA	1
26942Norvegienne2AmontetPool7.exPool65972874534181	05/10/1973	Norvegienne	NA	NA	NA	NA	NA	NA	NA	NA	NA	7
26942Norvegienne2EntrePool6.exPool5.etlimiteavalsecteur25973184534098	05/10/1973	Norvegienne	NA	NA	NA	NA	NA	NA	NA	NA	NA	3
26942NorvegienneNACourantsetgodonsaudessusdupool35973494533786	05/10/1973	Norvegienne	NA	NA	NA	NA	NA	NA	NA	NA	NA	21
26942NorvegienneP1+2Pools1et25974824533590	05/10/1973	Norvegienne	244	NA	NA	NA	NA	NA	NA	NA	NA	12
26942NorvegienneP2Pool25973134533662	05/10/1973	Norvegienne	93	NA	NA	NA	NA	NA	NA	NA	NA	1
26942NorvegienneP3Pool35973494533786	05/10/1973	Norvegienne	181	NA	NA	NA	NA	NA	NA	NA	NA	1
26942NorvegienneP4+5Pools4et5.exPool4.audessusdupiegeetendessouslimiteavalsecteur25972624533865	05/10/1973	Norvegienne	296	NA	NA	NA	NA	NA	13	12	NA	NA
26942NorvegienneP7Pool7.exPool65972874534181	05/10/1973	Norvegienne	241	NA	NA	NA	NA	NA	NA	NA	NA	3
26942NorvegienneP8Pool8.exPool75972574534387	05/10/1973	Norvegienne	418	NA	NA	NA	NA	NA	NA	NA	NA	7
26944Norvegienne2Secteur2(amont)5969784534524	07/10/1973	Norvegienne	NA	NA	NA	NA	NA	NA	NA	NA	NA	11
